title:Happy1, start timestamp:1764666114.790539, stop timestamp:1764666131.797586, headset type:FLEX2, headset serial:F30002B4, headset firmware:2f10, channels:283, sampling rate:eeg_256;mot_64;pow_8, samples:4355      , version:2.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,EEG.FwBufferSize,EEG.FwClockTime,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.Cz.Theta,POW.Cz.Alpha,POW.Cz.BetaL,POW.Cz.BetaH,POW.Cz.Gamma,POW.Fz.Theta,POW.Fz.Alpha,POW.Fz.BetaL,POW.Fz.BetaH,POW.Fz.Gamma,POW.Fp1.Theta,POW.Fp1.Alpha,POW.Fp1.BetaL,POW.Fp1.BetaH,POW.Fp1.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC1.Theta,POW.FC1.Alpha,POW.FC1.BetaL,POW.FC1.BetaH,POW.FC1.Gamma,POW.C3.Theta,POW.C3.Alpha,POW.C3.BetaL,POW.C3.BetaH,POW.C3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FT9.Theta,POW.FT9.Alpha,POW.FT9.BetaL,POW.FT9.BetaH,POW.FT9.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.CP5.Theta,POW.CP5.Alpha,POW.CP5.BetaL,POW.CP5.BetaH,POW.CP5.Gamma,POW.CP1.Theta,POW.CP1.Alpha,POW.CP1.BetaL,POW.CP1.BetaH,POW.CP1.Gamma,POW.P3.Theta,POW.P3.Alpha,POW.P3.BetaL,POW.P3.BetaH,POW.P3.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.PO9.Theta,POW.PO9.Alpha,POW.PO9.BetaL,POW.PO9.BetaH,POW.PO9.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.Oz.Theta,POW.Oz.Alpha,POW.Oz.BetaL,POW.Oz.BetaH,POW.Oz.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.PO10.Theta,POW.PO10.Alpha,POW.PO10.BetaL,POW.PO10.BetaH,POW.PO10.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.P4.Theta,POW.P4.Alpha,POW.P4.BetaL,POW.P4.BetaH,POW.P4.Gamma,POW.CP2.Theta,POW.CP2.Alpha,POW.CP2.BetaL,POW.CP2.BetaH,POW.CP2.Gamma,POW.CP6.Theta,POW.CP6.Alpha,POW.CP6.BetaL,POW.CP6.BetaH,POW.CP6.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FT10.Theta,POW.FT10.Alpha,POW.FT10.BetaL,POW.FT10.BetaH,POW.FT10.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.C4.Theta,POW.C4.Alpha,POW.C4.BetaL,POW.C4.BetaH,POW.C4.Gamma,POW.FC2.Theta,POW.FC2.Alpha,POW.FC2.BetaL,POW.FC2.BetaH,POW.FC2.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.Fp2.Theta,POW.Fp2.Alpha,POW.Fp2.BetaL,POW.Fp2.BetaH,POW.Fp2.Gamma
1764666121.687919,9883,0,4402.563965,4413.077148,4536.282227,4549.871582,4422.94873,4546.282227,4545.512695,4415.256348,4588.205078,4394.358887,4487.692383,4517.820313,4561.794922,4407.94873,4371.922852,4494.358887,4539.615234,4530.769043,4520.384766,4390.128418,4396.666504,4572.179688,4518.461426,4499.358887,4418.205078,4607.179688,4413.846191,4568.717773,4520.128418,4423.846191,4559.487305,4536.153809,2607,1,21,2048,15174,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.691825,9884,0,4409.487305,4420.128418,4545.256348,4559.487305,4429.358887,4552.179688,4553.077148,4423.589844,4597.692383,4395.769043,4492.436035,4523.846191,4567.94873,4407.179688,4375.769043,4493.333496,4543.461426,4536.025879,4528.974121,4405.641113,4415.769043,4580.512695,4525,4508.846191,4429.230957,4620.256348,4415.384766,4574.487305,4525,4434.358887,4569.743652,4544.102539,2704,1,21,2304,15182,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.695731,9885,0,4414.615234,4427.179688,4551.282227,4565.769043,4434.871582,4556.666504,4559.743652,4430.384766,4606.666504,4401.922852,4501.025879,4530.897461,4577.179688,4409.358887,4387.307617,4499.487305,4551.282227,4545.769043,4535.641113,4416.794922,4432.436035,4589.230957,4529.230957,4514.487305,4444.487305,4630.256348,4416.794922,4579.871582,4530,4443.461426,4573.974121,4550.256348,2551,1,21,2304,15182,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18855,0,0.313172,-0.623657,-0.347595,0.626221,0.828226,-0.564034,-0.047857,-7.5,45.5,4.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.699637,9886,0,4414.743652,4430.128418,4552.563965,4567.820313,4437.05127,4557.436035,4561.410156,4434.102539,4611.794922,4413.333496,4509.102539,4535.256348,4585.256348,4413.461426,4399.743652,4509.358887,4559.230957,4556.410156,4537.307617,4418.717773,4438.205078,4593.589844,4530.384766,4513.461426,4457.563965,4632.692383,4417.05127,4582.692383,4531.794922,4447.179688,4571.538574,4551.794922,2666,1,21,2560,15190,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.703543,9887,0,4409.358887,4426.153809,4548.205078,4565.897461,4434.358887,4554.102539,4556.410156,4433.461426,4609.615234,4425.641113,4511.922852,4534.743652,4588.589844,4416.794922,4406.282227,4517.307617,4563.333496,4564.230957,4534.358887,4411.282227,4430.128418,4590.769043,4528.205078,4507.179688,4458.589844,4625.897461,4414.615234,4581.025879,4528.333496,4443.077148,4563.974121,4547.436035,2803,1,21,2560,15190,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.707448,9888,0,4400.256348,4416.025879,4539.615234,4560.641113,4428.461426,4547.307617,4547.563965,4428.461426,4600.128418,4429.615234,4508.333496,4530,4586.153809,4416.922852,4403.333496,4519.487305,4561.025879,4565.512695,4528.717773,4398.717773,4412.692383,4582.436035,4523.717773,4499.358887,4439.743652,4612.05127,4410.641113,4575.512695,4521.025879,4432.692383,4553.974121,4538.846191,2759,1,21,2304,15198,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.711354,9889,0,4391.153809,4405.128418,4530.256348,4553.974121,4422.307617,4539.743652,4539.871582,4421.538574,4588.717773,4418.461426,4500.512695,4523.589844,4578.589844,4412.307617,4392.436035,4514.871582,4552.94873,4558.205078,4521.794922,4387.179688,4393.846191,4573.077148,4518.846191,4492.179688,4402.05127,4596.153809,4407.307617,4568.846191,4513.846191,4419.871582,4544.487305,4528.974121,2941,1,21,2304,15198,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18856,0,0.313062,-0.623535,-0.347473,0.626465,0.821878,-0.565499,-0.046881,-8.5,46.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.715260,9890,0,4385.128418,4398.333496,4523.717773,4547.94873,4418.205078,4533.589844,4536.666504,4415.512695,4581.538574,4396.025879,4492.563965,4517.692383,4568.461426,4404.102539,4378.589844,4505.512695,4541.794922,4542.94873,4514.102539,4380.897461,4380.641113,4566.410156,4514.743652,4486.410156,4357.307617,4584.230957,4405.641113,4563.333496,4510.256348,4409.230957,4536.794922,4520.769043,2575,1,21,1280,15206,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.719166,9891,0,4382.179688,4396.922852,4521.410156,4543.974121,4416.410156,4529.743652,4537.692383,4411.794922,4581.153809,4375.256348,4487.563965,4512.94873,4558.974121,4395.769043,4367.820313,4496.153809,4531.282227,4524.487305,4506.025879,4380.128418,4375.256348,4563.077148,4511.282227,4482.05127,4325.641113,4579.102539,4403.461426,4559.358887,4510.128418,4403.205078,4530.897461,4515.512695,2847,1,21,1280,15206,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.723071,9892,0,4380.384766,4397.436035,4521.153809,4541.794922,4415,4527.436035,4540,4409.487305,4584.615234,4366.410156,4487.179688,4508.974121,4553.589844,4391.153809,4364.871582,4491.153809,4524.615234,4509.230957,4498.589844,4381.282227,4375.384766,4560.769043,4507.94873,4479.358887,4323.333496,4580.384766,4397.820313,4555.256348,4510.256348,4400.897461,4526.282227,4512.436035,2744,1,21,512,15213,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.726977,9893,0,4378.333496,4396.410156,4519.102539,4540.128418,4412.179688,4525.256348,4540.512695,4407.179688,4586.666504,4369.102539,4490.256348,4505.256348,4553.974121,4392.307617,4370.384766,4492.05127,4522.563965,4502.563965,4492.820313,4379.871582,4376.922852,4557.05127,4504.230957,4478.333496,4351.153809,4584.358887,4388.077148,4549.230957,4507.692383,4399.871582,4522.179688,4510.384766,2778,1,21,512,15213,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18857,0,0.313395,-0.622986,-0.347168,0.627014,0.827738,-0.567452,-0.038579,-7.833333,46.666668,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.730883,9894,0,4376.410156,4392.692383,4513.717773,4538.333496,4408.077148,4522.307617,4538.589844,4404.358887,4585.128418,4374.487305,4493.846191,4503.077148,4559.358887,4397.94873,4381.282227,4496.538574,4524.358887,4505.641113,4489.871582,4375,4376.666504,4552.563965,4501.410156,4479.230957,4392.563965,4588.205078,4377.820313,4542.179688,4502.436035,4397.94873,4518.717773,4508.205078,2786,1,21,256,15221,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.734789,9895,0,4376.282227,4388.846191,4506.794922,4537.179688,4404.615234,4520.256348,4536.025879,4402.05127,4581.538574,4375,4495.256348,4503.333496,4566.410156,4404.615234,4391.538574,4501.538574,4528.717773,4515.897461,4490.641113,4370.128418,4374.743652,4550.512695,4500.897461,4482.179688,4425.128418,4591.282227,4372.05127,4537.563965,4497.692383,4396.153809,4516.794922,4506.282227,2975,1,21,256,15221,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.738694,9896,0,4378.717773,4388.077148,4502.307617,4537.94873,4404.358887,4520.897461,4535.512695,4402.05127,4578.717773,4370,4493.846191,4506.153809,4571.282227,4408.333496,4396.410156,4504.615234,4534.230957,4528.461426,4495.769043,4370.128418,4373.717773,4553.846191,4503.461426,4486.282227,4435.512695,4594.615234,4372.820313,4538.589844,4496.538574,4396.025879,4517.563965,4505.384766,2866,1,21,512,15229,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.742600,9897,0,4382.94873,4391.538574,4502.436035,4541.153809,4407.692383,4524.358887,4537.820313,4405.128418,4578.333496,4365.256348,4491.666504,4509.615234,4572.436035,4407.05127,4394.358887,4505.384766,4539.102539,4538.205078,4504.230957,4376.666504,4376.282227,4562.179688,4507.436035,4489.487305,4425.512695,4598.333496,4377.563965,4545.256348,4500.256348,4398.333496,4521.025879,4505.384766,2713,1,21,512,15229,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18858,0,0.313405,-0.622803,-0.347046,0.627258,0.824319,-0.570382,-0.047369,-8.333333,46.333332,4.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.746506,9898,0,4385.897461,4396.666504,4506.153809,4545.256348,4412.179688,4527.94873,4540.641113,4409.871582,4579.358887,4367.820313,4490.512695,4511.282227,4570.769043,4400.769043,4386.666504,4504.358887,4540.897461,4540.897461,4512.307617,4385.512695,4382.179688,4570.384766,4509.743652,4489.230957,4405.384766,4600.641113,4382.05127,4553.333496,4505.641113,4401.153809,4525.384766,4505.256348,1314,1,21,512,15237,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.750412,9899,0,4385.128418,4398.461426,4509.487305,4547.179688,4414.102539,4527.94873,4540.384766,4412.307617,4580.128418,4378.846191,4490.256348,4509.358887,4567.563965,4392.05127,4376.410156,4501.794922,4537.820313,4535,4515.384766,4390.769043,4388.077148,4572.820313,4507.820313,4484.615234,4383.717773,4600,4383.717773,4557.307617,4508.205078,4401.410156,4528.333496,4503.846191,2699,1,21,512,15237,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.754318,9900,0,4380,4394.358887,4509.358887,4545.641113,4411.538574,4523.077148,4535.641113,4409.743652,4579.743652,4391.922852,4489.743652,4505.384766,4563.974121,4384.743652,4367.436035,4498.333496,4530.897461,4523.717773,4512.179688,4389.358887,4390.512695,4568.077148,4502.05127,4477.820313,4366.282227,4596.794922,4384.102539,4554.615234,4505.641113,4398.077148,4528.974121,4501.922852,2477,1,21,768,15245,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.758223,9901,0,4374.102539,4387.692383,4507.05127,4542.820313,4407.05127,4516.282227,4528.974121,4403.205078,4580.128418,4399.102539,4489.358887,4503.589844,4561.410156,4383.077148,4363.974121,4496.666504,4524.615234,4514.358887,4506.410156,4384.230957,4390,4561.025879,4496.666504,4474.358887,4357.692383,4593.717773,4387.563965,4548.974121,4500.641113,4394.358887,4529.358887,4502.05127,2172,1,21,768,15245,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18859,0,0.313551,-0.62262,-0.346802,0.627502,0.824319,-0.570382,-0.047369,-9.5,45.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.762129,9902,0,4372.436035,4385.512695,4508.077148,4543.461426,4406.025879,4513.205078,4526.282227,4398.589844,4584.487305,4397.563965,4491.538574,4507.94873,4562.94873,4389.102539,4368.974121,4500.256348,4524.487305,4514.871582,4504.230957,4382.05127,4390.512695,4559.230957,4496.538574,4478.589844,4363.461426,4595.128418,4396.410156,4547.05127,4498.461426,4395.512695,4532.820313,4507.436035,2712,1,21,1024,15253,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764666121.766035,9903,0,4377.563965,4391.794922,4516.025879,4550.128418,4411.794922,4517.436035,4531.025879,4401.025879,4593.589844,4393.461426,4497.436035,4518.077148,4570.256348,4400.897461,4382.179688,4509.871582,4532.692383,4528.205078,4510.128418,4386.794922,4396.153809,4566.282227,4503.589844,4491.025879,4387.05127,4603.974121,4407.692383,4553.077148,4502.307617,4403.974121,4540.256348,4518.461426,2493,1,21,1024,15253,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
